iter	Passed	Remaining
0	681	167604
1	1288	157881
2	1894	154105
3	2524	153362
4	3242	156929
5	3922	157569
6	4513	154752
7	5224	156093
8	5871	155264
9	6479	153562
10	7184	154134
11	7793	152619
12	8459	152271
13	9169	152609
14	9897	153079
15	10520	151882
16	11223	151844
17	11925	151723
18	12615	151381
19	13224	150096
20	13857	149136
21	14522	148520
22	15163	147680
23	15793	146743
24	16504	146558
25	17119	145514
26	17841	145372
27	18501	144705
28	19175	144145
29	19828	143427
30	20538	143108
31	21206	142480
32	21507	139475
33	22126	138618
34	22821	138235
35	23516	137832
36	24184	137263
37	24917	137047
38	25573	136394
39	26244	135816
40	26964	135478
41	27622	134825
42	28228	133923
43	28904	133354
44	29533	132572
45	30223	132062
46	30901	131495
47	31555	130822
48	32247	130305
49	32949	129822
50	33556	128963
51	34201	128255
52	34857	127590
53	35453	126713
54	36075	125936
55	36719	125238
56	37432	124775
57	38091	124125
58	38741	123447
59	39454	122967
60	40120	122333
61	40816	121791
62	41419	120972
63	42078	120317
64	42756	119719
65	43392	119000
66	44049	118342
67	44726	117736
68	45452	117254
69	46179	116768
70	46834	116095
71	47512	115480
72	48222	114942
73	48925	114379
74	49502	113524
75	50204	112961
76	50836	112236
77	51512	111609
78	52138	110876
79	52792	110203
80	52955	108525
81	53585	107825
82	54291	107275
83	54904	106540
84	55563	105897
85	56244	105294
86	56893	104631
87	57554	103989
88	58209	103338
89	58935	102808
90	59554	102093
91	60195	101416
92	60955	100936
93	61608	100277
94	62304	99687
95	62960	99032
96	63578	98317
97	64245	97679
98	64943	97087
99	65640	96491
100	66317	95865
101	67022	95276
102	67703	94653
103	68393	94041
104	69133	93494
105	69831	92889
106	70538	92292
107	71143	91564
108	71842	90955
109	72544	90350
110	73261	89761
111	73901	89077
112	74606	88470
113	75239	87779
114	75950	87178
115	76630	86539
116	77302	85891
117	77938	85203
118	78590	84534
119	79265	83889
120	79921	83223
121	80639	82622
122	81334	81995
123	81973	81312
124	82720	80734
125	83440	80129
126	84138	79501
127	84818	78854
128	85468	78180
129	86126	77513
130	86842	76898
131	87558	76282
132	88245	75639
133	88987	75042
134	89705	74422
135	90414	73794
136	91001	73066
137	91650	72390
138	92275	71696
139	92943	71035
140	93598	70364
141	94207	69660
142	94871	68997
143	95571	68360
144	96311	67750
145	96950	67068
146	97598	66393
147	98297	65753
148	98961	65088
149	99603	64410
150	100232	63723
151	100878	63049
152	101569	62401
153	102226	61734
154	102920	61088
155	103628	60449
156	104363	59825
157	104976	59132
158	105660	58479
159	106312	57807
160	106952	57129
161	107635	56475
162	108280	55800
163	108930	55129
164	109573	54454
165	110280	53811
166	110947	53148
167	111593	52475
168	112312	51836
169	113026	51194
170	113679	50524
171	114374	49872
172	115043	49209
173	115741	48558
174	116394	47888
175	117026	47209
176	117646	46527
177	118361	45881
178	118964	45193
179	119614	44523
180	120294	43864
181	120954	43198
182	121613	42531
183	122341	41888
184	123040	41235
185	123696	40566
186	124377	39907
187	125057	39246
188	125733	38584
189	126394	37918
190	127040	37247
191	127742	36593
192	128396	35924
193	129088	35266
194	129801	34613
195	130500	33956
196	131240	33309
197	131862	32632
198	132570	31976
199	133185	31298
200	133871	30637
201	134527	29969
202	135183	29300
203	135884	28642
204	136548	27975
205	137236	27313
206	137856	26638
207	138521	25972
208	139227	25314
209	139962	24660
210	140680	24002
211	141353	23336
212	142040	22673
213	142719	22008
214	143388	21341
215	144096	20680
216	144781	20015
217	145504	19356
218	146124	18682
219	146817	18018
220	147487	17351
221	148247	16694
222	148928	16028
223	149617	15362
224	150318	14697
225	151025	14033
226	151739	13369
227	152373	12697
228	153064	12031
229	153732	11362
230	154419	10695
231	155111	10028
232	155702	9355
233	156386	8688
234	157023	8018
235	157777	7354
236	158500	6687
237	159136	6017
238	159824	5349
239	160563	4683
240	161286	4015
241	161929	3345
242	162654	2677
243	163292	2007
244	164004	1338
245	164671	669
246	165378	0
